properties	Shannon	Chao	NPE	TP	AP	pH	SOC	TN	TK	AK	AN	PAC
4NB2	4.481573	626.4375	1.127451	0.347913028	1.527011042	4.62	4.431883799	0.512434638	12.13080169	87.5	19.24709845	0.438905968
4NB3	4.604459	672.4436	1.196078	0.328193463	1.247008103	4.96	4.173007335	0.475892857	10.89015152	85	13.74051423	0.379961286
5CK1	3.647668	625.05	1.111111	0.287879221	1.026082264	4.9	2.75039884	0.42	10.80827068	62.5	8.301092562	0.35642804
5CK2	3.398968	554.8812	1.303468	0.221026678	1.195702027	4.7	2.353502482	0.366365569	11.00880705	55	8.836021359	0.540976337
5CK3	3.657733	691.129	1.297688	0.242381092	1.110892146	4.76	2.699878568	0.361239934	10.69289991	62.5	9.608507503	0.45832459
5N1	3.935984	497.4135	1.431122	0.301753926	3.305417639	4.64	2.9232	0.5	10.50747198	50	7.347757626	1.095401701
5N2	3.937427	517.2292	1.008021	0.360765654	3.487746732	4.62	2.750153924	0.472887168	11.38018937	50	7.764523279	0.96676241
5N3	3.885258	507.5185	0.974937	0.32275856	3.305417639	4.57	2.962835661	0.48	10.76101928	60	5.746599858	1.024114632
5NS1	4.147896	642.8993	0.948864	0.35597095	4.041125451	4.75	3.242055775	0.510578652	9.915014164	62.5	8.436433628	1.135240235
5NS2	4.368275	725.9379	0.918552	0.346590636	5.062276003	4.72	3.293639025	0.449527328	11.44879267	90	7.472858033	1.46059226
5NS3	4.269451	715.8882	0.782787	0.345624483	4.794351751	4.67	3.815694165	0.551269238	10.42422045	95	10.27804482	1.387156289
5NSM1	4.840985	596	1.213974	0.512652313	13.71752557	4.71	3.81905601	0.542379548	11.14864865	92.5	7.633347193	2.675795119
5NSM2	4.791491	596	1.0347072	0.535277269	14.92481017	4.73	4.252511115	0.582373861	12.56767208	100	6.935038934	2.788239112
5NSM3	5.125461	922.5825	0.973799	0.567801056	14.925	4.67	5.576538844	0.732013067	11.67704626	112.5	9.382198675	2.628561508
5NB1	4.509247	745.7432	1.293722	0.359116912	4.642264872	4.89	6.029622433	0.587547206	10.52188552	115	8.236183617	1.292689015
5NB2	4.690351	885.5815	0.966903	0.321925567	4.22775732	4.7	4.337841788	0.539391338	12.38046448	112.5	7.783277372	1.313271686
5NB3	4.67712	814.129	1.30839	0.336986048	6.922472224	4.81	5.23481073	0.6	11.61710037	125	8.43113021	2.054231107
6CK1	3.293838	616.25	1.367647	0.25	0.22	4.78	3.794278219	0.3936935	11.8711499	57.5	8.301092562	0.088
6CK2	3.892534	589.1667	1.095238	0.24	0.13	4.74	2.42250287	0.380745212	12.05787781	55	8.836021359	0.054166667
6CK3	3.365493	638.5882	1.322581	0.23	0.52	4.72	2.363548459	0.357755176	11.83304647	57.5	9.608507503	0.226086957
6N1	3.957888	532.6	0.582857	0.33	4.04	4.8	5.027605735	0.499087383	12.45847176	85	7.347757626	1.224242424
6N2	3.451239	573.9608	0.41791	0.37	3.78	4.76	4.260676633	0.464928896	12.51317176	82.5	7.764523279	1.021621622
6N3	4.262444	519.4545	0.301676	0.32	3.89	4.79	4.312730285	0.411919699	11.71444322	90	5.746599858	1.215625
6NS1	4.661787	653.5264	1.622283	0.34	4.04	4.79	4.994114631	0.51350365	11.05356241	97.5	8.436433628	1.188235294
6NS2	4.58379	658.7714	1.756098	0.3	2.94	4.73	3.55273812	0.459803922	12.43622449	115	7.472858033	0.98
