0-1yr	X	CK	X	N	X	NS	X	NSM	X	NB	2-3yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB
	0.0587	0.175955	0.068796	0.145953	0.071429	0.321819	0.09622	0.470176	0.10566	0.13267		0.064815	0.208886	0.092105	0.324501	0.035	0.206182	0.045234	0.84268	0.047863	0.317971		0.121212	0.072326	0.038356	0.233897	0.054264	0.55534	0.042879	0.491787	0.038199	0.266295		0.181818	0.036932	0.037685	0.294074	0.051948	0.591712	0.036891	0.469621	0.036554	0.346431
	0.060797	0.17139	0.071253	0.14223	0.07398	0.316729	0.099656	0.463689	0.109434	0.125058		0.06713	0.209416	0.095395	0.323216	0.03625	0.206289	0.04685	0.839662	0.049573	0.31855		0.125541	0.072717	0.039726	0.231793	0.056202	0.550755	0.04441	0.488359	0.039563	0.263019		0.188312	0.030689	0.039031	0.294491	0.053803	0.588078	0.038208	0.468076	0.037859	0.346902
	0.062893	0.164807	0.07371	0.142619	0.076531	0.317624	0.103093	0.462059	0.113208	0.125619		0.069444	0.20995	0.098684	0.315842	0.0375	0.206561	0.048465	0.837899	0.051282	0.319126		0.12987	0.073112	0.041096	0.232129	0.05814	0.549459	0.045942	0.487532	0.040928	0.262845		0.194805	0.031011	0.040377	0.293458	0.055659	0.584621	0.039526	0.464459	0.039164	0.347379
	0.06499	0.165184	0.076167	0.143011	0.079082	0.311763	0.106529	0.457661	0.116981	0.11759		0.071759	0.2046	0.101974	0.314269	0.03875	0.205417	0.050081	0.835627	0.052991	0.314709		0.134199	0.07342	0.042466	0.232466	0.060078	0.54487	0.047473	0.484946	0.042292	0.263225		0.201299	0.02549	0.041723	0.291195	0.057514	0.580313	0.040843	0.465104	0.04047	0.346875
	0.067086	0.161891	0.078624	0.143404	0.081633	0.311656	0.109966	0.455849	0.120755	0.11783		0.074074	0.205071	0.105263	0.308107	0.04	0.205689	0.051696	0.832532	0.054701	0.315286		0.138528	0.073823	0.043836	0.229266	0.062016	0.540697	0.049005	0.481391	0.043656	0.263587		0.207792	0.020543	0.043069	0.29161	0.059369	0.577614	0.042161	0.465751	0.041775	0.347353
	0.069182	0.160111	0.081081	0.1438	0.084184	0.309209	0.113402	0.457054	0.124528	0.118366		0.076389	0.199317	0.108553	0.309255	0.04125	0.205945	0.053312	0.829669	0.05641	0.315866		0.142857	0.074228	0.045205	0.229441	0.063953	0.535599	0.050536	0.481702	0.04502	0.263964		0.214286	0.019982	0.044415	0.290751	0.061224	0.577426	0.043478	0.466399	0.043081	0.347832
	0.071279	0.16048	0.083538	0.144198	0.086735	0.303769	0.116838	0.457433	0.128302	0.118908		0.078704	0.194244	0.111842	0.301073	0.0425	0.206217	0.054927	0.830747	0.05812	0.316449		0.147186	0.07464	0.046575	0.229776	0.065891	0.530734	0.052067	0.478086	0.046385	0.264347		0.220779	0.018409	0.04576	0.291165	0.06308	0.57686	0.044796	0.466031	0.044386	0.347548
	0.073375	0.158826	0.085995	0.144598	0.089286	0.301969	0.120275	0.458151	0.132075	0.119455		0.081019	0.194717	0.115132	0.302226	0.04375	0.206489	0.056543	0.829536	0.059829	0.317033		0.151515	0.075055	0.047945	0.229495	0.067829	0.527929	0.053599	0.474626	0.047749	0.264411		0.227273	0.018501	0.047106	0.291442	0.064935	0.575556	0.046113	0.466682	0.045692	0.347981
	0.075472	0.152743	0.088452	0.145001	0.091837	0.302837	0.123711	0.449968	0.135849	0.120006		0.083333	0.189806	0.118421	0.303388	0.045	0.206042	0.058158	0.830975	0.061538	0.313232		0.155844	0.075475	0.049315	0.22652	0.069767	0.529046	0.05513	0.475405	0.049113	0.261893		0.233766	0.01855	0.048452	0.289541	0.06679	0.576716	0.047431	0.467334	0.046997	0.348463
	0.077568	0.153097	0.090909	0.139919	0.094388	0.303709	0.127148	0.451787	0.139623	0.120558		0.085648	0.188978	0.121711	0.304558	0.04625	0.206205	0.059774	0.829513	0.063248	0.313813		0.160173	0.066691	0.050685	0.226123	0.071705	0.5244	0.056662	0.475898	0.050477	0.259659		0.24026	0.018781	0.049798	0.289357	0.068646	0.57648	0.048748	0.467989	0.048303	0.348946
