ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	Label
otu106344	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2.5	otu106344
otu17941	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonasaeruginosa	2	otu17941
otu19172	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.833333333	otu19172
otu121602	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.5	otu121602
otu104589	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonasaeruginosa	2.666666667	otu104589
otu28209	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonasfungivorans	1.666666667	otu28209
otu107711	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	2.333333333	otu107711
otu37118	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	4.166666667	otu37118
otu23125	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2	otu23125
otu30526	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.5	otu30526
otu54961	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	1.833333333	otu54961
otu122993	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.666666667	otu122993
otu28410	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	9.666666667	otu28410
otu48483	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.833333333	otu48483
otu107815	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidusgilardii	1.666666667	otu107815
otu108630	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	4.166666667	otu108630
otu60766	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	17.33333333	otu60766
otu31498	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	8	otu31498
otu12235	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	3.833333333	otu12235
otu125332	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	2.166666667	otu125332
